Name,Speed,Stamina,Strength,Aggression,Creativity,Luck,Focus,Influence,Refelxes,Phobia,Vice,Role,Personality,Class,Affinity
Katherine Italics,5,6,9,4,3,3,1,2,3,Socks,Vigilantes,Player,Compassionate,Support,None
Silas Bockham,8,2,6,3,1,5,9,5,9,Bibles,Religion,Player,Appreciative,Support,Mind
Nil Gaumond,6,5,8,6,10,8,2,1,9,Taxes,New Socks,Superfan,Compassionate,Optimist,Soul
Gatlin Forehead-Greives,7,1,2,5,5,7,9,7,10,Fights,Flies,Superfan,Stoic,Full kit wanker,Mind
Elsa Bellamy,6,5,3,8,9,10,6,4,4,Eyelids,Craft Beer,Superfan,Innovative,Hardcore,Soul
Silly De,2,6,6,5,10,3,6,8,5,Sitcoms,Gossip,Superfan,Wise,Fair-weather,Mind
Genesis Fontana,4,6,7,9,5,9,4,5,4,Lids,Eclipses,Player,Focused,Consistency,Soul
King Spoon,6,10,8,6,2,2,9,6,10,Insomnia,Haircuts,Superfan,Idealistic,Gambler,Body
Catherine Thompson,7,2,3,6,4,10,5,9,4,SIlence,Flies,Superfan,Stoic,Die-hard,Mind
Cynthia Jacaranda,10,8,9,3,5,2,10,3,9,Sneezes,Baloons,Superfan,Appreciative,There for the booze,Body
Listen Linda Najafzadeh,4,8,6,10,10,9,2,8,4,Shoe laces,Mythology,Player,Stoic,Investigator,Soul
Donald Armpit,7,6,5,3,4,6,8,9,6,Truck Drivers,Mushrooms,Superfan,Placid,Fair-weather,Body
Detective Sialoquent,2,2,6,9,1,10,1,8,5,Cat Hair,Pencil Sharpeners,Management,Focused,Head Coach,Soul
Philtrum Gray,1,2,1,9,6,2,10,7,8,Statuary,Flying,Staff,Confident,Physio,Mind
Colson Embellishment,7,4,6,8,5,9,8,6,10,Barbers,Ants,Superfan,Innovative,Fair-weather,Mind
Larry Ortiz,5,4,1,6,3,5,8,9,2,Black Sand,Hit and Runs,Player,Confident,General,Mind
Toothy Hamilcar,7,4,10,4,8,8,4,7,5,Algorythms,Restaurants,Player,Appreciative,General,Mind
Sammie Beaverclown,7,8,5,9,7,9,5,6,4,Algorythms,Gym,Staff,Idealistic,Scout,Soul
Katherine Egg,7,1,7,9,8,8,5,5,9,Cracks,PE Teachers,Superfan,Placid,Fair-weather,Soul
Ingrid Fonua,8,7,5,4,6,9,9,7,8,Lids,Laxatives,Superfan,Sage,Scarf Guy,None
Outstanding Absolute Zero,3,7,6,9,8,8,3,6,7,Sandals,Children,Staff,Confident,Performance coach,Soul
Clandestine Walker,6,8,6,3,4,2,6,7,1,VR Technology,Night Driving,Management,Passionate,GM,Body
Sweet Tea Quantum,7,7,7,3,6,4,9,7,2,Heights,Shouting,Player,Innovative,General,Body
Sadio Fonua,10,1,2,8,9,7,1,2,4,Vanilla extract,Parachutes,Player,Idealistic,Hype,None
KVIIIlyn The Great,7,3,1,10,8,8,2,1,4,Swimming,PE Teachers,Superfan,Wise,There for the booze,Soul
